"Year","USPPR","Flyway","ActiveHunters","DaysAfield","TotalBPOP","method"
1955,2870026.51,NA,NA,NA,39603.6,0
1956,3036443.44,NA,NA,NA,42035.2,0
1957,3214021.82,NA,NA,NA,34197.1,0
1958,3643225.64,NA,NA,NA,36528.1,0
1959,2271074.81,NA,NA,NA,40089.9,0
1960,4112890.56,NA,NA,NA,32080.5,0
1961,3166871.58,"CF",199340,5.72548966589746,29829,0
1961,3166871.58,"MF",426800,5.66194470477976,29829,0
1962,5024842.6,"CF",137598,6.55239545632931,25038.9,0
1962,5024842.6,"MF",329800,6.10900545785324,25038.9,0
1963,5449808.7,"CF",198456,6.58767258233563,27609.5,0
1963,5449808.7,"MF",460200,6.36333550630161,27609.5,0
1964,3531471,"CF",224056,6.72640781768844,27768.8,0
1964,3531471,"MF",558200,6.7723127911143,27768.8,0
1965,5046790.69,"CF",207799,6.57360025794157,25903.1,0
1965,5046790.69,"MF",546700,7.06027803182733,25903.1,0
1966,5612586.61,"CF",258620,7.93228029541412,30574.2,0
1966,5612586.61,"MF",657200,7.17872032866707,30574.2,0
1967,5144458,"CF",303143,7.35026429770768,32688.6,0
1967,5144458,"MF",704700,7.02167305236271,32688.6,0
1968,4193545,"CF",257482,6.31236742762601,28971.2,0
1968,4193545,"MF",611200,6.2601112565445,28971.2,0
1969,6294434,"CF",313686,7.6663577271539,33760.9,0
1969,6294434,"MF",699000,7.19627753934192,33760.9,0
1970,6695500,"CF",368778,8.09690011334733,39676.3,0
1970,6695500,"MF",864600,8.14215012722646,39676.3,0
1971,5952604,"CF",372936,8.28609737327584,36905.1,0
1971,5952604,"MF",847500,7.90863598820059,36905.1,0
1972,6988154,"CF",351799,7.99307570516119,40748,0
1972,6988154,"MF",761600,8.01695246848739,40748,0
1973,4641283,"CF",338216,7.94369988409774,32573.9,0
1973,4641283,"MF",7e+05,7.88822285714286,32573.9,0
1974,4668070,"CF",346635,7.79095192349301,35422.5,0
1974,4668070,"MF",764100,8.07909566810627,35422.5,0
1975,5980768,"CF",358638,8.20939836269442,37792.8,0
1975,5980768,"MF",792200,8.4712660944206,37792.8,0
1976,3227934,"CF",350855,7.90796081002123,34342.3,0
1976,3227934,"MF",722100,8.24889765960393,34342.3,0
1977,2321936,"CF",342446,7.85195741810388,32049,0
1977,2321936,"MF",743200,8.39767088266954,32049,0
1978,7780302,"CF",348703,7.90508059867566,35505.6,0
1978,7780302,"MF",722500,8.7215598615917,35505.6,0
1979,6912671,"CF",339012,7.76142649817706,38622,0
1979,6912671,"MF",699300,9.18910052910053,38622,0
1980,4657351,"CF",309898,7.55505056502462,36224.4,0
1980,4657351,"MF",669700,8.91562938629237,36224.4,0
1981,3584205,"CF",272270,7.56975913615161,32267.3,0
1981,3584205,"MF",621500,9.05018020917136,32267.3,0
